Memory_ghz_max,Memory_usage_max,state,vibrate,vibrateState
119710,0.069599,-2,0.002672452,0
119700,0.069785,-2,0.001891524,0
119680,0.069917,-2,0.002274125,0
120100,0.070076,-2,-0.00062789,0
119680,0.070032,-2,0.000928147,0
119650,0.070097,-2,-0.000641968,0
119650,0.070052,-2,0.000385428,0
119650,0.070079,-2,0.002696956,0
119640,0.070268,-2,0.000370012,0
119620,0.070294,-2,0.001294563,0
119610,0.070385,-2,0.000923492,0
119600,0.07045,-2,0.000823279,0
119590,0.070508,-2,0.000567312,0
119590,0.070548,-2,0.003019221,0
119570,0.070761,-2,0.003787397,1
119560,0.071029,-2,0.001140379,0
119520,0.07111,-2,0.00289692,0
119500,0.071316,-2,0.001416232,0
119480,0.071417,-2,0.005978969,2
119900,0.071844,-2,-6.96E-05,0
119420,0.071839,-2,0.00018096,0
119440,0.071852,-2,-0.000695875,0
119440,0.071802,-2,0.000863486,0
119420,0.071864,-2,0.000570522,0
119420,0.071905,-2,0.000973507,0
119410,0.071975,-2,0.000736367,0
119400,0.072028,-2,0.002499028,0
119390,0.072208,-2,0.001412586,0
119370,0.07231,-2,0.001396764,0
119350,0.072411,-2,0.000800983,0
119340,0.072469,-2,0.000289779,0
119340,0.07249,-2,0.00011036,0
119340,0.072498,-2,0.002248338,0
119330,0.072661,-2,0.000220201,0
119790,0.072677,-2,0.000467823,0
119320,0.072711,-2,0.000192543,0
119310,0.072725,-2,0.001196287,0
119300,0.072812,-2,0.000508158,0
119300,0.072849,-2,0.000439265,0
119290,0.072881,-2,0.00054884,0
119280,0.072921,-2,0.00098737,0
119280,0.072993,-2,0.000794597,0
119270,0.073051,-2,0.000944546,0
119260,0.07312,-2,0.001983042,0
119250,0.073265,-2,0.000914489,0
119240,0.073332,-2,0.000600011,0
119220,0.073376,-2,0.001022133,0
119220,0.073451,-2,0.000653497,0
119210,0.073499,-2,0.003415012,1
119660,0.07375,-2,0.000691525,0
119170,0.073801,-2,0.001260146,0
119160,0.073894,-2,-0.000960836,0
119160,0.073823,-2,0.001056581,0
119160,0.073901,-2,0.000433012,0
119150,0.073933,-2,0.000865649,0
119150,0.073997,-2,0.001270322,0
119130,0.074091,-2,0.002496929,0
119130,0.074276,-2,-0.001413646,0
119120,0.074171,-2,0.003518896,1
119110,0.074432,-2,0.000685189,0
119080,0.074483,-2,-0.000201388,0
119080,0.074468,-2,0.000349143,0
119080,0.074494,-2,0.001154455,0
119080,0.07458,-2,5.36E-05,0
119540,0.074584,-2,-0.002936287,-1
119110,0.074365,-2,0.000551335,0
119090,0.074406,-2,-1.34E-05,0
119090,0.074405,-2,0.001854714,0
119080,0.074543,-2,0.001207357,0
119070,0.074633,-2,0.001983037,0
